User_id,First_name,Last_name,Gender,Phone_no,Email_addr,Address,Education_background
9,a,A,F,5854980726,aA@ur.rochester.edu,205,B
10,b,B,F,5854980728,bB@ur.rochester.edu,206,M
11,c,C,M,5854980730,cC@ur.rochester.edu,207,P
12,d,D,M,5854980732,dD@ur.rochester.edu,208,B
13,e,E,M,5854980734,eE@ur.rochester.edu,209,M
14,f,F,M,5854980736,fF@ur.rochester.edu,210,P
15,g,G,M,5854980738,gG@ur.rochester.edu,211,B
16,h,H,M,5854980740,hH@ur.rochester.edu,212,M
17,i,I,M,5854980742,iI@ur.rochester.edu,213,P
18,j,J,F,5854980744,jJ@ur.rochester.edu,214,B
19,k,K,F,5854980746,kK@ur.rochester.edu,215,M
20,l,L,F,5854980748,lL@ur.rochester.edu,216,P
21,m,M,F,5854980750,mM@ur.rochester.edu,217,B
22,n,N,F,5854980752,nN@ur.rochester.edu,218,M
23,o,O,F,5854980754,oO@ur.rochester.edu,219,P
24,p,P,F,5854980756,pP@ur.rochester.edu,220,B
25,q,Q,M,5854980758,qQ@ur.rochester.edu,221,M
26,r,R,M,5854980760,rR@ur.rochester.edu,222,P
27,s,S,M,5854980762,sS@ur.rochester.edu,223,B
28,t,T,M,5854980764,tT@ur.rochester.edu,224,M
29,u,U,F,5854980766,uU@ur.rochester.edu,225,P
30,v,V,F,5854980768,vV@ur.rochester.edu,226,B
31,w,W,M,5854980770,wW@ur.rochester.edu,227,M
32,x,X,M,5854980772,xX@ur.rochester.edu,228,P
33,y,Y,M,5854980774,yY@ur.rochester.edu,229,B
34,z,Z,M,5854980776,zZ@ur.rochester.edu,230,M
